date,city,campaign,impressions,clicks,traffic,spend
2025-01-24,Chennai,HolidaySale,5732,782,400,36.7
2025-01-03,Bangalore,BrandAwareness,5213,261,142,53.48
2025-01-01,Chennai,BrandAwareness,2804,59,373,18.65
2025-01-13,Delhi,CoffeePush,619,38,272,58.68
2025-01-30,Hyderabad,HolidaySale,4574,298,308,55.61
2025-01-29,Chennai,CoffeePush,4409,309,60,44.57
2025-01-08,Delhi,HolidaySale,5674,353,191,72.27
2025-01-15,Bangalore,BrandAwareness,989,13,111,40.64
2025-01-30,Delhi,BrandAwareness,4190,628,205,52.76
2025-01-09,Mumbai,CoffeePush,4907,462,380,43.26
2025-01-01,Delhi,HolidaySale,1191,146,251,20.86
2025-01-21,Delhi,BrandAwareness,3114,363,148,78.78
2025-01-13,Mumbai,HolidaySale,559,10,396,49.56
2025-01-01,Mumbai,CoffeePush,4882,514,392,76.02
2025-01-29,Mumbai,BrandAwareness,1360,15,58,71.46
2025-01-20,Chennai,HolidaySale,1791,237,82,36.18
2025-01-21,Mumbai,CoffeePush,3208,476,239,57.91
2025-01-24,Bangalore,CoffeePush,556,40,476,51.29
2025-01-05,Mumbai,BrandAwareness,5768,453,25,20.78
2025-01-18,Mumbai,HolidaySale,1758,98,464,55.86
2025-01-14,Bangalore,HolidaySale,2793,390,85,43.53
2025-01-18,Hyderabad,BrandAwareness,5368,102,145,19.29
2025-01-12,Mumbai,BrandAwareness,5325,310,452,57.53
2025-01-20,Chennai,CoffeePush,1563,173,471,54.46
2025-01-13,Chennai,CoffeePush,764,51,210,41.4
2025-01-06,Bangalore,HolidaySale,3062,69,450,28.34
2025-01-01,Chennai,CoffeePush,2651,369,47,7.87
2025-01-27,Delhi,CoffeePush,3381,35,327,31.68
2025-01-27,Bangalore,CoffeePush,2732,153,206,75.33
2025-01-29,Delhi,CoffeePush,4600,573,22,45.54
2025-01-14,Hyderabad,HolidaySale,2262,265,81,29.47
2025-01-28,Chennai,CoffeePush,5807,515,376,9.38
2025-01-28,Mumbai,HolidaySale,3362,299,295,33.13
2025-01-12,Chennai,HolidaySale,2176,260,163,13.93
2025-01-11,Hyderabad,BrandAwareness,1731,143,405,49.25
2025-01-25,Bangalore,CoffeePush,601,70,173,60.97
2025-01-21,Delhi,HolidaySale,4519,325,40,46.06
2025-01-28,Hyderabad,HolidaySale,5461,104,454,18.4
2025-01-25,Chennai,HolidaySale,2244,108,500,55.93
2025-01-07,Mumbai,HolidaySale,1921,257,431,73.51
2025-01-14,Mumbai,CoffeePush,2354,319,272,70.56
2025-01-01,Mumbai,CoffeePush,3888,462,96,50.59
2025-01-27,Bangalore,BrandAwareness,1476,190,321,28.87
2025-01-03,Hyderabad,CoffeePush,4833,326,312,13.31
2025-01-26,Mumbai,BrandAwareness,2835,394,393,29.06
2025-01-13,Delhi,BrandAwareness,1041,66,476,8.78
2025-01-30,Chennai,HolidaySale,4713,303,181,68.91
2025-01-12,Delhi,BrandAwareness,4145,577,302,78.71
2025-01-17,Delhi,CoffeePush,1204,92,22,35.42
2025-01-28,Hyderabad,CoffeePush,5418,328,212,56.65
2025-01-24,Hyderabad,HolidaySale,1664,243,196,45.34
2025-01-15,Hyderabad,CoffeePush,3308,83,449,20.41
2025-01-01,Mumbai,HolidaySale,1520,176,162,6.89
2025-01-06,Chennai,BrandAwareness,4730,51,394,46.01
2025-01-13,Mumbai,HolidaySale,2455,284,419,62.01
2025-01-24,Bangalore,HolidaySale,4857,25,485,29.35
2025-01-14,Hyderabad,BrandAwareness,4046,436,292,37.23
2025-01-05,Mumbai,HolidaySale,1946,97,427,69.8
2025-01-14,Chennai,BrandAwareness,1113,95,89,59.38
2025-01-28,Bangalore,HolidaySale,4763,656,500,9.79
2025-01-05,Hyderabad,BrandAwareness,5660,489,239,18.4
2025-01-26,Bangalore,CoffeePush,2413,183,386,19.6
2025-01-19,Delhi,BrandAwareness,4302,105,426,7.84
2025-01-12,Hyderabad,HolidaySale,4041,398,452,64.44
2025-01-24,Delhi,HolidaySale,1587,120,192,51.48
2025-01-15,Chennai,BrandAwareness,5527,277,358,52.03
2025-01-19,Hyderabad,HolidaySale,5751,16,387,43.99
2025-01-11,Chennai,CoffeePush,3626,320,498,20.74
2025-01-26,Hyderabad,BrandAwareness,1508,145,426,62.96
